Enroll,Seats,CRN,Semester_ID,Course_ID,Title,Times,Days,Site,Instr
93,7,11566,Fall2013,CS 110,CS 101; Introduction to the Computer Science Profession,1200-1250,M,KAUF  0224,"BRUNELLE, J"
69,1,16715,Fall2013,CS 120G,Introduction to Information Literacy and Research,1500-1615,MW,MGB 0101,"GUPTA, R"
67,3,13794,Fall2013,CS 120G,Introduction to Information Literacy and Research,1500-1615,TR,MGB 0101,"GUPTA, R"
18,4,16717,Fall2013,CS 120G,Introduction to Information Literacy and Research,1620-1735,TR,ECSB 3104,"GUPTA, A"
71,0,14808,Fall2013,CS 121G,Introduction to Information Literacy and Research for Scientists,1500-1615,TR,CONST  1005,"MORRIS, J"
67,3,14407,Fall2013,CS 121G,Introduction to Information Literacy and Research for Scientists,1620-1735,TR,KAUF  0224,"GUPTA, R"
68,2,13801,Fall2013,CS 121G,Introduction to Information Literacy and Research for Scientists,1745-1900,MW,DIEHN 0107,"SYMPSON, W"
68,2,15966,Fall2013,CS 121G,Introduction to Information Literacy and Research for Scientists,1910-2150,M,OCNPS  0200,"SYMPSON, W"
13,4,14813,Fall2013,CS 126G,Honors; Introduction to Information Literacy and Research,1620-1735,TR,ECSB 3104,"GUPTA, A"
101,2,14816,Fall2013,CS 150,Problem Solving and Programming I,1330-1445,TR,KAUF  0100,"BOYLE, C"
101,2,10709,Fall2013,CS 150,Problem Solving and Programming I,1500-1615,TR,CONST  1002,"BOYLE, C"
71,32,10710,Fall2013,CS 150,Problem Solving and Programming I,1620-1735,TR,CONST  1002,"BOYLE, C"
62,0,15535,Fall2013,CS 250,Problem Solving and Programming II,1500-1615,MW,OCNPS  0100,"ZEIL, S"
64,0,10696,Fall2013,CS 250,Problem Solving and Programming II,1620-1735,MW,OCNPS  0100,"GHAZIZADEH, P"
134,16,17966,Fall2013,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB HR ,"ZEIL, S"
22,8,17967,Fall2013,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB VA ,"ZEIL, S"
4,11,17968,Fall2013,CS 252,Introduction to Unix for Programmers,TBA,TBA,WEB NON-VA ,"ZEIL, S"
47,13,13205,Fall2013,CS 270,Introduction to Computer Architecture II,1500-1615,TR,DRAGAS 1117,"LI, Y"
38,2,13408,Fall2013,CS 300T,Computers in Society,1100-1150,MW,DRAGAS 2120,"PRICE, G"
38,2,13408,Fall2013,CS 300T,Computers in Society,1100-1150,F,DRAGAS 2120,"PRICE, G"
50,0,15154,Fall2013,CS 300T,Computers in Society,TBA,TBA,WEB HR ,"BRUNELLE, J"
30,0,17970,Fall2013,CS 300T,Computers in Society,TBA,TBA,WEB HR ,"MALY, K"
17,2,17971,Fall2013,CS 300T,Computers in Society,TBA,TBA,WEB VA ,"MALY, K"
1,2,17972,Fall2013,CS 300T,Computers in Society,TBA,TBA,WEB NON-VA ,"MALY, K"
29,0,17973,Fall2013,CS 300T,Computers in Society,TBA,TBA,WEB HR ,"GUPTA, R"
19,0,17974,Fall2013,CS 300T,Computers in Society,TBA,TBA,WEB VA ,"GUPTA, R"
2,0,17975,Fall2013,CS 300T,Computers in Society,TBA,TBA,WEB NON-VA ,"GUPTA, R"
